,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
0,0.6293356575626241,0.6444846712039733,0.6980257972209369,0.6524307248918193,0.6206892063669467,0.6157300185507102,0.6469996228060813,0.6368198603805035,0.6290960909393473,0.6515364155843599
1,0.7180272302585273,0.5998414245486674,0.6353253881099807,0.6532652892716304,0.6401308908309471,0.6245505488731709,0.6978752728931706,0.6375411616304834,0.5696416214983662,0.6805788095730132
2,0.6608096212181938,0.6110046979881131,0.6367812572409726,0.637173858451382,0.7080873977103004,0.6621814636615249,0.6220914354879072,0.7050223941836431,0.6848085629276904,0.6562038487847581
3,0.6701877340779636,0.7024186017781224,0.698434212581196,0.6567867342357989,0.7061090199367834,0.7079623245730334,0.6290587989593853,0.6731798074320481,0.5927174751770774,0.638238475579271
4,0.6532268247432171,0.583359649622799,0.6008712158751552,0.6786876722881677,0.6534702360951181,0.6119233903469894,0.6687103513859038,0.6421857778763728,0.6781534915748789,0.6422707194821072
5,0.6336083996169957,0.7298398408551858,0.7138993010860409,0.6758005504607365,0.682876744486403,0.6507106409134091,0.6153684997202727,0.5831464633501328,0.6541129130998318,0.6866951381220099
6,0.6829345280731839,0.6744357308074712,0.6333031437700375,0.6518317286686568,0.6496059865629678,0.6721470895960338,0.6355197434875395,0.6539771533780214,0.6576364173639515,0.6556255876542778
7,0.7497562704765648,0.607433411207902,0.6299082979931812,0.6414640468910928,0.6730809639986467,0.697486377973362,0.6537574565679419,0.6334740493586218,0.686443890623273,0.6709896723600046
8,0.6447918247439381,0.6290064074176147,0.6845701430719336,0.6655496861002239,0.6732387861581037,0.6236633873745887,0.7376515781775931,0.5798870775381353,0.6663894922608982,0.6293619690770114
9,0.6085222039515478,0.6347983344831111,0.5843874424032304,0.6291256910171612,0.6660416958168838,0.6010511563907139,0.6827130239191039,0.6171517123471261,0.560456178544657,0.6351940694357069
10,0.689499402444272,0.6118660742124937,0.6348174816437012,0.604536057153137,0.7123897679356209,0.6723783855784993,0.6246084401399525,0.6376321708204811,0.6358967803310203,0.7110820813541019
11,0.7422303088641915,0.630468822955355,0.6995616508954062,0.660393124830948,0.7388951815214524,0.6422417067962691,0.7155878312065083,0.6027803784573948,0.596803202495721,0.618977937294755
12,0.7211872833533979,0.6313712372993527,0.6143648602810494,0.616353833895329,0.6762091031422375,0.6210922255121621,0.6376754192332619,0.6555518835555734,0.5799587215292583,0.6404387562993173
13,0.6340958225534385,0.663597681872055,0.7190013483344158,0.7171602032730588,0.6417472859392973,0.6663557720026425,0.6926632221097071,0.6362834447634443,0.6251609139078951,0.693769274612025
14,0.6213205807414349,0.67502812284511,0.6317106429321924,0.6457864515762264,0.636876794216453,0.6162801183671305,0.6642157429253487,0.6714917764390256,0.7095994893812654,0.6494222011324438
15,0.6068363501242662,0.6931690787411399,0.6307707367478083,0.6409149719703877,0.6864505017286295,0.7454246196436224,0.7171151384891602,0.6676239324617477,0.6628628522005242,0.6401956415528838
16,0.6647901659725908,0.6173549735549401,0.606612210414949,0.5941301085591806,0.6493695933105561,0.6239872216886129,0.6142798957533534,0.6918714579856704,0.6676057657654637,0.64819782866348
17,0.5793812555668212,0.6498554898100058,0.6886602114733791,0.6422112051187145,0.6184402260034556,0.6655766054056632,0.6424732583415729,0.6450492747302958,0.6766725567596265,0.6537350605276875
18,0.6554072267959724,0.6908427201726273,0.7421057444639902,0.6764069968055526,0.5879942455406405,0.631546187298282,0.6629645071489374,0.6442037575387305,0.599664157470949,0.6614420158974241
19,0.6845456013890094,0.7521499282694332,0.6822391435396944,0.6660301623757088,0.6383026675614808,0.701134192721439,0.6954202312562201,0.6604875450026864,0.669798432976478,0.701878532901969
20,0.6454903222624542,0.6635394049539665,0.6348331983969295,0.6439382249753473,0.6298378628239567,0.5935015220145453,0.6266205768579419,0.7366320469813958,0.6343986795836414,0.62328051274759
